Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Russula emetica P?ilba v1.0,Russula emetica P?ilba,P?ilba,,JGI,,,
Russula ochroleuca Prilba v1.0,Russula ochroleuca Prilba,Prilba,,JGI,,,
Russula rugulosa BPL654 v1.0,Russula rugulosa BPL654,BPL654,,JGI,,,
Russula vinacea BPL710 v1.0,Russula vinacea BPL710,BPL710,,JGI,,,
Rutstroemia firma CBS 115.86 v1.0,Rutstroemia firma CBS 115.86,CBS 115.86,,JGI,,,
Rutstroemia sp. NJR-2017a BBW (GCA_002946425),Rutstroemia sp. NJR-2017a BBW,NJR-2017a BBW,,Ensembl-Genbank,,,
Rutstroemia sp. NJR-2017a BVV2 (GCA_002946415),Rutstroemia sp. NJR-2017a BVV2,NJR-2017a BVV2,,Ensembl-Genbank,,,
Rutstroemia sp. NJR-2017a WRK4 (GCA_002946385),Rutstroemia sp. NJR-2017a WRK4,NJR-2017a WRK4,,Ensembl-Genbank,,,
Saccharata proteae CBS 121410 v1.0,Saccharata proteae CBS 121410,CBS 121410,,JGI,,,
Saccharomyces arboricola H-6 (GCA_000292725),Saccharomyces arboricola H-6,H-6,,Ensembl-Genbank,,,
Saccharomyces cerevisiae,Saccharomyces cerevisiae,S288C,Ascomycota,Ensembl-Genbank,,,
Saccharomyces cerevisiae (GCA_001634645),Saccharomyces cerevisiae,GLBRCY22-3,Ascomycota,Ensembl-Genbank,,,
Saccharomyces cerevisiae (GCA_002804325),Saccharomyces cerevisiae,I-328,Ascomycota,Ensembl-Genbank,,,
Saccharomyces cerevisiae CEN.PK113-7D (GCA_000269885),Saccharomyces cerevisiae CEN.PK113-7D,CEN.PK113-7D,,Ensembl-Genbank,,,
Saccharomyces cerevisiae EC1118 (GCA_000218975),Saccharomyces cerevisiae EC1118,EC1118,,Ensembl-Genbank,,,
Saccharomyces cerevisiae FostersB (GCA_000190255),Saccharomyces cerevisiae FostersB,FostersB,,Ensembl-Genbank,,,
Saccharomyces cerevisiae FostersO (GCA_000326005),Saccharomyces cerevisiae FostersO,FostersO,,Ensembl-Genbank,,,
Saccharomyces cerevisiae Kyokai no. 7 str. kyokai no. 7 (GCA_000260735),Saccharomyces cerevisiae Kyokai no. 7,Kyokai no. 7,,Ensembl-Genbank,,,
Saccharomyces cerevisiae Lalvin QA23 (GCA_000325965),Saccharomyces cerevisiae Lalvin QA23,Lalvin QA23,,Ensembl-Genbank,,,
Saccharomyces cerevisiae M3707 Dikaryon,Saccharomyces cerevisiae M3707 Dikaryon,M3707 Dikaryon,,JGI,,,
Saccharomyces cerevisiae M3836 v1.0,Saccharomyces cerevisiae M3836,M3836,,JGI,,,
Saccharomyces cerevisiae M3837 v1.0,Saccharomyces cerevisiae M3837,M3837,,JGI,,,
Saccharomyces cerevisiae M3838 v1.0,Saccharomyces cerevisiae M3838,M3838,,JGI,,,
Saccharomyces cerevisiae M3839 v1.0,Saccharomyces cerevisiae M3839,M3839,,JGI,,,
Saccharomyces cerevisiae P283 (GCA_000568295),Saccharomyces cerevisiae P283,P283,,Ensembl-Genbank,,,
Saccharomyces cerevisiae P301 (GCA_000568055),Saccharomyces cerevisiae P301,P301,,Ensembl-Genbank,,,
Saccharomyces cerevisiae R103 (GCA_000568365),Saccharomyces cerevisiae R103,R103,,Ensembl-Genbank,,,
Saccharomyces cerevisiae RM11-1a (GCA_000149365),Saccharomyces cerevisiae RM11-1a,RM11-1a,,Ensembl-Genbank,,,
Saccharomyces cerevisiae S288c,Saccharomyces cerevisiae S288c,S288c,Ascomycota,FungiDB,,,
Saccharomyces cerevisiae S288C,Saccharomyces cerevisiae S288C,S288C,,JGI,,,
Saccharomyces cerevisiae str. 131 (GCA_001983315),Saccharomyces cerevisiae str. 131,131,,Ensembl-Genbank,,,
Saccharomyces cerevisiae Vin13 (GCA_000190215),Saccharomyces cerevisiae Vin13,Vin13,,Ensembl-Genbank,,,
Saccharomyces cerevisiae VL3 (GCA_000190235),Saccharomyces cerevisiae VL3,VL3,,Ensembl-Genbank,,,
Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7 (GCA_000326105),Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7,VIN7,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1078 (GCA_000975645),Saccharomyces cerevisiae YJM1078,YJM1078,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1083 (GCA_000975675),Saccharomyces cerevisiae YJM1083,YJM1083,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1129 (GCA_000975705),Saccharomyces cerevisiae YJM1129,YJM1129,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1133 (GCA_000976695),Saccharomyces cerevisiae YJM1133,YJM1133,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1190 (GCA_000976725),Saccharomyces cerevisiae YJM1190,YJM1190,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1199 (GCA_000976755),Saccharomyces cerevisiae YJM1199,YJM1199,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1202 (GCA_000976785),Saccharomyces cerevisiae YJM1202,YJM1202,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1208 (GCA_000976815),Saccharomyces cerevisiae YJM1208,YJM1208,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1242 (GCA_000976845),Saccharomyces cerevisiae YJM1242,YJM1242,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1244 (GCA_000976875),Saccharomyces cerevisiae YJM1244,YJM1244,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1248 (GCA_000976905),Saccharomyces cerevisiae YJM1248,YJM1248,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1250 (GCA_000976935),Saccharomyces cerevisiae YJM1250,YJM1250,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1252 (GCA_000976965),Saccharomyces cerevisiae YJM1252,YJM1252,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1273 (GCA_000976995),Saccharomyces cerevisiae YJM1273,YJM1273,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1304 (GCA_000977025),Saccharomyces cerevisiae YJM1304,YJM1304,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1307 (GCA_000977055),Saccharomyces cerevisiae YJM1307,YJM1307,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1311 (GCA_000977085),Saccharomyces cerevisiae YJM1311,YJM1311,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1326 (GCA_000977115),Saccharomyces cerevisiae YJM1326,YJM1326,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1332 (GCA_000977145),Saccharomyces cerevisiae YJM1332,YJM1332,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1336 (GCA_000977175),Saccharomyces cerevisiae YJM1336,YJM1336,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1338 (GCA_000977205),Saccharomyces cerevisiae YJM1338,YJM1338,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1341 (GCA_000977235),Saccharomyces cerevisiae YJM1341,YJM1341,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1342 (GCA_000977265),Saccharomyces cerevisiae YJM1342,YJM1342,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1355 (GCA_000977295),Saccharomyces cerevisiae YJM1355,YJM1355,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1356 (GCA_000977325),Saccharomyces cerevisiae YJM1356,YJM1356,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1381 (GCA_000977355),Saccharomyces cerevisiae YJM1381,YJM1381,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1383 (GCA_000977385),Saccharomyces cerevisiae YJM1383,YJM1383,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1385 (GCA_000977415),Saccharomyces cerevisiae YJM1385,YJM1385,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1386 (GCA_000977445),Saccharomyces cerevisiae YJM1386,YJM1386,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1387 (GCA_000977475),Saccharomyces cerevisiae YJM1387,YJM1387,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1388 (GCA_000977505),Saccharomyces cerevisiae YJM1388,YJM1388,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1389 (GCA_000977535),Saccharomyces cerevisiae YJM1389,YJM1389,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1399 (GCA_000977565),Saccharomyces cerevisiae YJM1399,YJM1399,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1400 (GCA_000977595),Saccharomyces cerevisiae YJM1400,YJM1400,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1401 (GCA_000977625),Saccharomyces cerevisiae YJM1401,YJM1401,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1402 (GCA_000977655),Saccharomyces cerevisiae YJM1402,YJM1402,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1415 (GCA_000977685),Saccharomyces cerevisiae YJM1415,YJM1415,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1417 (GCA_000977715),Saccharomyces cerevisiae YJM1417,YJM1417,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1418 (GCA_000977745),Saccharomyces cerevisiae YJM1418,YJM1418,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1419 (GCA_000977775),Saccharomyces cerevisiae YJM1419,YJM1419,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1433 (GCA_000977805),Saccharomyces cerevisiae YJM1433,YJM1433,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1434 (GCA_000977835),Saccharomyces cerevisiae YJM1434,YJM1434,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1439 (GCA_000977865),Saccharomyces cerevisiae YJM1439,YJM1439,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1443 (GCA_000977895),Saccharomyces cerevisiae YJM1443,YJM1443,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1444 (GCA_000977925),Saccharomyces cerevisiae YJM1444,YJM1444,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1447 (GCA_000977955),Saccharomyces cerevisiae YJM1447,YJM1447,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1450 (GCA_000977985),Saccharomyces cerevisiae YJM1450,YJM1450,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1460 (GCA_000978015),Saccharomyces cerevisiae YJM1460,YJM1460,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1463 (GCA_000978045),Saccharomyces cerevisiae YJM1463,YJM1463,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1477 (GCA_000978075),Saccharomyces cerevisiae YJM1477,YJM1477,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1478 (GCA_000978105),Saccharomyces cerevisiae YJM1478,YJM1478,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1479 (GCA_000978135),Saccharomyces cerevisiae YJM1479,YJM1479,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1526 (GCA_000978165),Saccharomyces cerevisiae YJM1526,YJM1526,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1527 (GCA_000978195),Saccharomyces cerevisiae YJM1527,YJM1527,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1549 (GCA_000978225),Saccharomyces cerevisiae YJM1549,YJM1549,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1573 (GCA_000978255),Saccharomyces cerevisiae YJM1573,YJM1573,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1574 (GCA_000978285),Saccharomyces cerevisiae YJM1574,YJM1574,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1592 (GCA_000978315),Saccharomyces cerevisiae YJM1592,YJM1592,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM1615 (GCA_000978345),Saccharomyces cerevisiae YJM1615,YJM1615,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM189 (GCA_000975735),Saccharomyces cerevisiae YJM189,YJM189,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM193 (GCA_000975765),Saccharomyces cerevisiae YJM193,YJM193,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM195 (GCA_000975585),Saccharomyces cerevisiae YJM195,YJM195,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM244 (GCA_000975615),Saccharomyces cerevisiae YJM244,YJM244,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM248 (GCA_000975795),Saccharomyces cerevisiae YJM248,YJM248,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM270 (GCA_000975825),Saccharomyces cerevisiae YJM270,YJM270,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM271 (GCA_000975855),Saccharomyces cerevisiae YJM271,YJM271,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM320 (GCA_000975885),Saccharomyces cerevisiae YJM320,YJM320,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM326 (GCA_000975915),Saccharomyces cerevisiae YJM326,YJM326,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM428 (GCA_000975945),Saccharomyces cerevisiae YJM428,YJM428,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM450 (GCA_000975975),Saccharomyces cerevisiae YJM450,YJM450,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM451 (GCA_000976005),Saccharomyces cerevisiae YJM451,YJM451,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM453 (GCA_000976035),Saccharomyces cerevisiae YJM453,YJM453,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM456 (GCA_000976065),Saccharomyces cerevisiae YJM456,YJM456,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM470 (GCA_000976095),Saccharomyces cerevisiae YJM470,YJM470,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM541 (GCA_000976125),Saccharomyces cerevisiae YJM541,YJM541,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM554 (GCA_000976155),Saccharomyces cerevisiae YJM554,YJM554,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM555 (GCA_000976185),Saccharomyces cerevisiae YJM555,YJM555,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM627 (GCA_000976215),Saccharomyces cerevisiae YJM627,YJM627,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM681 (GCA_000976245),Saccharomyces cerevisiae YJM681,YJM681,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM682 (GCA_000976275),Saccharomyces cerevisiae YJM682,YJM682,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM683 (GCA_000976305),Saccharomyces cerevisiae YJM683,YJM683,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM689 (GCA_000976335),Saccharomyces cerevisiae YJM689,YJM689,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM693 (GCA_000976365),Saccharomyces cerevisiae YJM693,YJM693,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM789 (GCA_000181435),Saccharomyces cerevisiae YJM789,YJM789,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM969 (GCA_000976395),Saccharomyces cerevisiae YJM969,YJM969,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM972 (GCA_000976425),Saccharomyces cerevisiae YJM972,YJM972,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM975 (GCA_000976455),Saccharomyces cerevisiae YJM975,YJM975,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM978 (GCA_000976485),Saccharomyces cerevisiae YJM978,YJM978,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM981 (GCA_000976515),Saccharomyces cerevisiae YJM981,YJM981,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM984 (GCA_000976545),Saccharomyces cerevisiae YJM984,YJM984,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM987 (GCA_000976575),Saccharomyces cerevisiae YJM987,YJM987,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM990 (GCA_000976605),Saccharomyces cerevisiae YJM990,YJM990,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM993 (GCA_000662435),Saccharomyces cerevisiae YJM993,YJM993,,Ensembl-Genbank,,,
Saccharomyces cerevisiae YJM996 (GCA_000976665),Saccharomyces cerevisiae YJM996,YJM996,,Ensembl-Genbank,,,
Saccharomyces eubayanus str. FM1318 (GCA_001298625),Saccharomyces eubayanus str. FM1318,FM1318,,Ensembl-Genbank,,,
Saccharomyces kudriavzevii IFO 1802 (GCA_000167075),Saccharomyces kudriavzevii IFO 1802,IFO 1802,,Ensembl-Genbank,,,
Saccharomyces sp. 'boulardii' str. biocodex (GCA_001298375),Saccharomyces sp. 'boulardii' str. biocodex,biocodex,,Ensembl-Genbank,,,
Saccharomyces sp. 'boulardii' str. unique28 (GCA_001413975),Saccharomyces sp. 'boulardii' str. unique28,unique28,,Ensembl-Genbank,,,
Saccharomycetaceae sp. 'Ashbya aceri' (GCA_000412225),Saccharomycetaceae sp. 'Ashbya aceri',Ashbya aceri,,Ensembl-Genbank,,,
Saccharomycopsis capsularis NRRL Y-17639,Saccharomycopsis capsularis NRRL Y-17639,NRRL Y-17639,,JGI,,,
Saitoella complicata NRRL Y-17804 (GCA_000227095),Saitoella complicata NRRL Y-17804,NRRL Y-17804,,Ensembl-Genbank,,,
Saitoella complicata NRRL Y-17804 (GCA_001661265),Saitoella complicata NRRL Y-17804,NRRL Y-17804,,Ensembl-Genbank,,,
Saitoella complicata NRRL Y-17804 v1.0,Saitoella complicata NRRL Y-17804,NRRL Y-17804,,JGI,,,
Saksenaea vasiformis B4078,Saksenaea vasiformis B4078,B4078,,JGI,,,
Sarcoscypha coccinea ATCC 58028 v1.0,Sarcoscypha coccinea ATCC 58028,ATCC 58028,,JGI,,,
Saturnispora dispora NRRL Y-1447,Saturnispora dispora NRRL Y-1447,NRRL Y-1447,,JGI,,,
Scedosporium apiospermum IHEM 14462,Scedosporium apiospermum IHEM 14462,IHEM 14462,Ascomycota,FungiDB,,,
Scedosporium apiospermum str. IHEM 14462 (GCA_000732125),Scedosporium apiospermum str. IHEM 14462,IHEM 14462,,Ensembl-Genbank,,,
Scheffersomyces stipitis CBS 6054 (GCA_000209165),Scheffersomyces stipitis CBS 6054,CBS 6054,,Ensembl-Genbank,,,
Scheffersomyces stipitis NRRL Y-11545 v2.0,Scheffersomyces stipitis NRRL Y-11545,NRRL Y-11545,,JGI,,,
Schizophyllum commune H4-8 (GCA_000143185),Schizophyllum commune H4-8,H4-8,,Ensembl-Genbank,,,
Schizophyllum commune H4-8 v3.0,Schizophyllum commune H4-8,H4-8,,JGI,,,
Schizopora paradoxa KUC8140 v1.0,Schizopora paradoxa KUC8140,KUC8140,,JGI,,,
Schizopora paradoxa str. KUC8140 (GCA_001020605),Schizopora paradoxa str. KUC8140,KUC8140,,Ensembl-Genbank,,,
Schizosaccharomyces cryophilus,Schizosaccharomyces cryophilus,OY26,,Ensembl-Genbank,,,
Schizosaccharomyces cryophilus OY26,Schizosaccharomyces cryophilus OY26,OY26,,JGI,,,
Schizosaccharomyces japonicus,Schizosaccharomyces japonicus,yFS275,,Ensembl-Genbank,,,
Schizosaccharomyces japonicus yFS275,Schizosaccharomyces japonicus yFS275,yFS275,Ascomycota,FungiDB,,,
Schizosaccharomyces japonicus yFS275,Schizosaccharomyces japonicus yFS275,yFS275,,JGI,,,
Schizosaccharomyces octosporus,Schizosaccharomyces octosporus,yFS286,,Ensembl-Genbank,,,
Schizosaccharomyces octosporus yFS286,Schizosaccharomyces octosporus yFS286,yFS286,Ascomycota,FungiDB,,,
Schizosaccharomyces octosporus yFS286,Schizosaccharomyces octosporus yFS286,yFS286,,JGI,,,
Schizosaccharomyces pombe,Schizosaccharomyces pombe,972h-,,JGI,,,
Schizosaccharomyces pombe,Schizosaccharomyces pombe,972h-,,Ensembl-Genbank,,,
Schizosaccharomyces pombe 972h-,Schizosaccharomyces pombe 972h-,972h-,Ascomycota,FungiDB,,,
Schizothecium vesticola SMH3187-1 v1.0,Schizothecium vesticola SMH3187-1,SMH3187-1,,JGI,,,
Scleroderma citrinum Foug A (GCA_000827425),Scleroderma citrinum Foug A,Foug A,,Ensembl-Genbank,,,
Scleroderma citrinum Foug A v1.0,Scleroderma citrinum Foug A,Foug A,,JGI,,,
Sclerogaster hysterangioides SCL2.BST v1.0,Sclerogaster hysterangioides SCL2.BST,SCL2.BST,,JGI,,,
Sclerophora sanguinea CBS100924 v1.0,Sclerophora sanguinea CBS100924,CBS 100924,,JGI,,,
Sclerotinia borealis F-4128 (GCA_000503235),Sclerotinia borealis F-4128,F-4128,,Ensembl-Genbank,,,
Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,1980 UF-70,,Ensembl-Genbank,,,
Sclerotinia sclerotiorum v1.0,Sclerotinia sclerotiorum,1980 UF-70,,JGI,,,
Sclerotinia sclerotiorum 1980 UF-70,Sclerotinia sclerotiorum 1980 UF-70,1980 UF-70,Ascomycota,FungiDB,,,
Sclerotinia sclerotiorum 1980 UF-70 (GCA_001857865),Sclerotinia sclerotiorum 1980 UF-70,1980 UF-70,,Ensembl-Genbank,,,
Scytinostroma sp. KUC9335 v1.0,Scytinostroma sp. KUC9335,KUC9335,,JGI,,,
Sebacina vermifera MAFF 305830 v1.0,Sebacina vermifera MAFF 305830,MAFF 305830,,JGI,,,
Septobasidium sp. PNB30-8B v1.0,Septobasidium sp. PNB30-8B,PNB30-8B,,JGI,,,
Septoria musiva SO2202 v1.0,Septoria musiva SO2202,SO2202,,JGI,,,
Septoria populicola v1.0,Septoria populicola,P02.02b,,JGI,,,
Serendipita indica DSM 11827 (GCA_000313545),Serendipita indica DSM 11827,DSM 11827,,Ensembl-Genbank,,,
Serendipita vermifera MAFF 305830 (GCA_000827415),Serendipita vermifera MAFF 305830,MAFF 305830,,Ensembl-Genbank,,,
Serpula himantioides (S.lacrymans var shastensis) MUCL38935 v1.0,Serpula himantioides MUCL38935,MUCL38935,,JGI,,,
Serpula lacrymans S7.3 v2.0,Serpula lacrymans S7.3,S7.3,,JGI,,,
Serpula lacrymans S7.9 v2.0,Serpula lacrymans S7.9,S7.9,,JGI,,,
Serpula lacrymans var. lacrymans S7.3 (GCA_000218725),Serpula lacrymans var. lacrymans S7.3,S7.3,,Ensembl-Genbank,,,
Serpula lacrymans var. lacrymans S7.9 (GCA_000218685),Serpula lacrymans var. lacrymans S7.9,S7.9,,Ensembl-Genbank,,,
Setomelanomma holmii CBS 110217 v1.0,Setomelanomma holmii CBS 110217,CBS 110217,,JGI,,,
Setosphaeria turcica Et28A v2.0,Setosphaeria turcica Et28A,Et28A,,JGI,,,
Sirobasidium intermedium CBS7805 v1.0,Sirobasidium intermedium CBS7805,CBS 7805,,JGI,,,
Sistotrema raduloides OMC1660 v1.0,Sistotrema raduloides OMC1660,OMC1660,,JGI,,,
Sistotremastrum niveocremeum HHB9708 (GCA_001630475),Sistotremastrum niveocremeum HHB9708,HHB9708,,Ensembl-Genbank,,,
Sistotremastrum niveocremeum HHB9708 ss-1 1.0,Sistotremastrum niveocremeum HHB9708 ss-1 1.0,HHB9708 ss-1 1.0,,JGI,,,
Sistotremastrum suecicum v1.0,Sistotremastrum suecicum,HHB10207 ss-3,,JGI,,,
Sistotremastrum suecicum HHB10207 ss-3 (GCA_001632355),Sistotremastrum suecicum HHB10207 ss-3,HHB10207 ss-3,,Ensembl-Genbank,,,
Slooffia pilatii Y-17178 v1.0,Slooffia pilatii Y-17178,Y-17178,,JGI,,,
Smittium culicis GSMNP,Smittium culicis GSMNP,GSMNP,,JGI,,,
Smittium culicis ID-206-W2,Smittium culicis ID-206-W2,ID-206-W2,,JGI,,,
Smittium mucronatum ALG-7-W6,Smittium mucronatum ALG-7-W6,ALG-7-W6,,JGI,,,
Sodiomyces alkalinus v1.0,Sodiomyces alkalinus,F11,,JGI,,,
Sordaria brevicollis FGSC1904 v1.0,Sordaria brevicollis FGSC1904,FGSC1904,,JGI,,,
Sordaria macrospora k-hell,Sordaria macrospora k-hell,k-hell,Ascomycota,FungiDB,,,
Sordaria macrospora k-hell (GCA_000182805),Sordaria macrospora k-hell,k-hell,,Ensembl-Genbank,,,
Sparassis latifolia CCMJ1100 v1.0,Sparassis latifolia CCMJ1100,CCMJ1100,,JGI,,,
Spathaspora passalidarum NRRL Y-27907 (GCA_000223485),Spathaspora passalidarum NRRL Y-27907,NRRL Y-27907,,Ensembl-Genbank,,,
Spathaspora passalidarum NRRL Y-27907 v2.0,Spathaspora passalidarum NRRL Y-27907,NRRL Y-27907,,JGI,,,
Sphaerobolus stellatus v1.0,Sphaerobolus stellatus,SS14,,JGI,,,
Sphaerobolus stellatus SS14 (GCA_000827215),Sphaerobolus stellatus SS14,SS14,,Ensembl-Genbank,,,
Sphaerosporella brunnea Sb_GMNB300 v1.0,Sphaerosporella brunnea Sb_GMNB300,Sb_GMNB300,,JGI,,,
Sphaerulina musiva SO2202 (GCA_000320565),Sphaerulina musiva SO2202,SO2202,,Ensembl-Genbank,,,
Spinellus fusiger NRRL 22323 v1.0,Spinellus fusiger NRRL 22323,NRRL 22323,,JGI,,,
Spizellomyces punctatus DAOM BR117,Spizellomyces punctatus DAOM BR117,DAOM BR117,Chytridiomycota,FungiDB,,,
Spizellomyces punctatus DAOM BR117,Spizellomyces punctatus DAOM BR117,DAOM BR117,,JGI,,,
Spizellomyces punctatus DAOM BR117 (GCA_000182565),Spizellomyces punctatus DAOM BR117,DAOM BR117,,Ensembl-Genbank,,,
Sporidiobolus pararoseus Phaff 68-350 v1.0,Sporidiobolus pararoseus Phaff 68-350,Phaff 68-350,,JGI,,,
Sporisorium reilianum,Sporisorium reilianum,SRZ2,,Ensembl-Genbank,,,
Sporisorium reilianum f. sp. reilianum (GCA_900162835),Sporisorium reilianum f. sp. reilianum,SRS1_H2-8,,Ensembl-Genbank,,,
Sporisorium reilianum SRZ2,Sporisorium reilianum SRZ2,SRZ2,Basidiomycota,FungiDB,,,
Sporisorium reilianum SRZ2,Sporisorium reilianum SRZ2,SRZ2,,JGI,,,
Sporobolomyces gracilis NRRL Y-5504 v1.0,Sporobolomyces gracilis NRRL Y-5504,NRRL Y-5504,,JGI,,,
Sporobolomyces linderae CBS 7893 v1.0,Sporobolomyces linderae CBS 7893,CBS 7893,,JGI,,,
Sporodiniella umbellata MES 1446 v1.0,Sporodiniella umbellata MES 1446,MES 1446,,JGI,,,
Sporopachydermia lactativora Phaff 68-199 v1.0,Sporopachydermia lactativora Phaff 68-199,Phaff 68-199,,JGI,,,
Sporormia fimetaria v1.0,Sporormia fimetaria,CBS 119925,,JGI,,,
Sporothrix brasiliensis 5110,Sporothrix brasiliensis 5110,5110,Ascomycota,FungiDB,,,
Sporothrix brasiliensis 5110 (GCA_000820605),Sporothrix brasiliensis 5110,5110,,Ensembl-Genbank,,,
Sporothrix insectorum RCEF 264 (GCA_001636815),Sporothrix insectorum RCEF 264,RCEF 264,,Ensembl-Genbank,,,
Sporothrix schenckii 1099-18,Sporothrix schenckii 1099-18,1099-18,Ascomycota,FungiDB,,,
Sporothrix schenckii 1099-18 (GCA_000961545),Sporothrix schenckii 1099-18,1099-18,,Ensembl-Genbank,,,
Sporothrix schenckii ATCC 58251 (GCA_000474925),Sporothrix schenckii ATCC 58251,ATCC 58251,,Ensembl-Genbank,,,
